                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0056,                 4.7176,                 4.4541,                      0,                      0,                      0,                      0,                 2.2907,                 4.6927,                 4.1587,               7.69e-06,               7.69e-06,               7.69e-06
                      2,                 2.9971,                 4.6937,                 4.4516,                      0,                      0,                      0,                      0,                 2.2907,                 4.6929,                 4.1589,             2.3047e-05,             2.3047e-05,             2.3047e-05
                      3,                 2.8611,                  4.704,                  4.407,                      0,                      0,                      0,                      0,                 2.2912,                  4.692,                 4.1586,             3.8374e-05,             3.8374e-05,             3.8374e-05
                      4,                 2.9986,                 4.7077,                 4.4349,                      0,                      0,                      0,                      0,                 2.2925,                 4.6914,                 4.1587,              5.367e-05,              5.367e-05,              5.367e-05
                      5,                  3.239,                 4.7041,                 4.4078,                      0,                      0,                      0,                      0,                 2.2925,                 4.6914,                  4.158,             6.8936e-05,             6.8936e-05,             6.8936e-05
                      6,                 3.1328,                 4.6577,                 4.3728,                      0,                      0,                      0,                      0,                 2.2957,                  4.692,                 4.1581,             8.4171e-05,             8.4171e-05,             8.4171e-05
                      7,                 3.2509,                 4.6413,                 4.3445,                      0,                      0,                      0,                      0,                 2.2955,                  4.692,                 4.1581,             9.9376e-05,             9.9376e-05,             9.9376e-05
                      8,                 2.7556,                 4.6121,                 4.2727,                      0,                      0,                      0,                      0,                 2.2925,                 4.6952,                 4.1581,             0.00011455,             0.00011455,             0.00011455
                      9,                 2.8297,                 4.5931,                 4.2431,                      0,                      0,                      0,                      0,                 2.2935,                 4.6956,                 4.1582,             0.00012969,             0.00012969,             0.00012969
                     10,                 2.8315,                  4.535,                 4.2648,                      0,                      0,                      0,                      0,                 2.2935,                 4.6956,                  4.159,             0.00014481,             0.00014481,             0.00014481
                     11,                 2.8498,                 4.5547,                 4.2218,                      0,                      0,                      0,                      0,                 2.2956,                 4.6979,                 4.1593,             0.00015989,             0.00015989,             0.00015989
                     12,                  2.931,                  4.519,                 4.2024,                      0,                      0,                      0,                      0,                 2.2944,                 4.7023,                 4.1593,             0.00017494,             0.00017494,             0.00017494
                     13,                 2.9575,                 4.4966,                 4.1872,                      0,                      0,                      0,                      0,                 2.2936,                 4.7025,                 4.1597,             0.00018997,             0.00018997,             0.00018997
                     14,                  2.861,                 4.4822,                 4.1637,                      0,                      0,                      0,                      0,                 2.2895,                 4.7071,                 4.1607,             0.00020496,             0.00020496,             0.00020496
                     15,                 2.8426,                 4.4962,                 4.1496,                      0,                      0,                      0,                      0,                 2.2899,                 4.7103,                 4.1618,             0.00021992,             0.00021992,             0.00021992
                     16,                 2.8099,                 4.4097,                 4.1027,                      0,                      0,                      0,                      0,                 2.2944,                 4.7132,                 4.1632,             0.00023485,             0.00023485,             0.00023485
                     17,                 2.8468,                   4.33,                 4.1309,                      0,                      0,                      0,                      0,                 2.2939,                 4.7196,                  4.165,             0.00024975,             0.00024975,             0.00024975
                     18,                  2.554,                 4.3222,                 4.0721,                      0,                      0,                      0,                      0,                 2.2965,                 4.7232,                 4.1675,             0.00026462,             0.00026462,             0.00026462
                     19,                 2.5541,                 4.3312,                 4.0413,                      0,                      0,                      0,                      0,                 2.2972,                 4.7314,                 4.1709,             0.00027946,             0.00027946,             0.00027946
                     20,                 2.6611,                 4.3178,                 4.0226,                      0,                      0,                      0,                      0,                 2.3001,                 4.7362,                 4.1753,             0.00029427,             0.00029427,             0.00029427
                     21,                 2.7954,                 4.2436,                 4.0143,                      0,                      0,                      0,                      0,                 2.3105,                 4.7438,                 4.1781,             0.00030905,             0.00030905,             0.00030905
